"","BroodID","FemaleRing","MaleRing","ClutchSize","EggNumber"
"350","1449","M032230","M026075",7,1
"351","1450","M032246",NA,7,4
"352","1451","M017312","M026816",7,2
"353","1452","M032248","M032249",5,5
"354","1453","M032247","M022885",6,5
"355","1454","M032043","M022894",4,3
"356","1455","M032124","M033603",5,5
"357","1456","M032131","M022879",9,5
"358","1457","M022866","M026361",6,6
"359","1459","M027866","M004351",5,4
"360","1461","M032347","M034517",7,3
"361","1462","M032314","M004206",6,3
"362","1463","M032228","M032203",8,4
"363","1464","M022647","M026399",6,3
"364","1465","M028884","M022186",8,8
"365","1467","M032015","M022859",9,6
"366","1468","M026473","M032052",6,3
"367","1469","M032208","M032440",6,1
"368","1470","M026986","M026825",7,6
"369","1471","M032371","M026629",3,1
"370","1472","M032043","M022894",5,4
"371","1473","M032414",NA,6,5
"372","1474","M022098","M032249",8,5
"373","1476","M026849","M004206",6,4
"374","1477","M032401",NA,6,5
"375","1478","M032219","M032220",8,5
"376","1480","M032222","M026816",9,8
"377","1481","M026459","M027966",5,4
"378","1483","M032221","M032484",8,4
"379","1484","M032124","M033603",6,5
"380","1485","M032414",NA,0,1
"381","1486","M017312","M026816",7,6
"382","1487","M004207","M032051",11,9
"383","1488","M032230","M026075",7,2
"384","1489","M028783","M032252",7,3
"385","1490","M032499","M020488",6,3
"386","1491","M022866","M032003",9,6
"387","1493","M032229","M032362",9,6
"388","1494","M032478","M031523",7,1
"389","1495","M022858","M022855",6,6
"390","1496","M014948","M022113",7,5
"391","1497","M022153","M026577",6,5
"392","1498","M022647","M026399",6,5
"393","1499","M027981",NA,7,4
"394","1500","M010969","M032484",6,5
"395","1501","M022647","M034814",6,4
"396","1502","M022865","M032108",5,5
"397","1503","M032320","M022113",3,1
"398","1504","M022866",NA,5,4
"399","1505","M032109","M032356",7,7
"400","1506","M022098","M032409",7,4
"401","1507","M032228","M032327",6,5
"402","1508","M031529","M022672",4,4
"403","1509","M017312","M032322",6,5
"404","1511","M032230",NA,7,7
"405","1512","M031540","M031541",6,6
"406","1513","M028783","M032252",6,4
"407","1514","M021087","M031553",6,5
"408","1515","M031554","M032370",7,4
"409","1516","M032231","M031678",11,1
"410","1517","M032426","M032313",7,7
"411","1518","M022891","M031539",9,6
"412","1519","M032478","M031523",6,5
"413","1520","M033660","M022855",7,5
"414","1521","M031557","M031558",4,4
"415","1522","M032401","M032003",7,3
"416","1523","M022153","M026577",7,7
"417","1524","M032045","M028786",7,4
"418","1525","M032219","M032220",5,3
"419","1526","M031552","M026276",6,5
"420","1527","M034529","M022186",5,5
"421","1528","M032248","M032449",8,6
"422","1529","M028884","M031545",8,6
"423","1531","M026255","M032145",5,1
"424","1532","M032393",NA,6,5
"425","1534","M031538","M032441",7,7
"426","1535","M026986","M031799",6,2
"427","1536","M032424","M032460",6,4
"428","1538","M032015","M032144",5,5
"429","1539","M031582","M031828",7,4
"430","1540",NA,NA,5,4
"431","1541","M022861","M032257",7,5
"432","1542","M031565","M027989",6,5
"433","1543","M027866","M004351",6,3
"434","1544","M032226",NA,7,7
"435","1545","M032446","M032479",6,6
"436","1547","M031555","M031800",7,4
"437","1548","M031580","M032483",6,5
"438","1549","M022694","M026629",8,8
"439","1550",NA,NA,9,5
"440","1551","M031564","M031652",7,7
"441","1552","M032314","M032400",7,7
"442","1553","M028824","M031730",5,4
"443","1555","M035431","M031524",6,5
"444","1556","M031702","M022885",6,5
"445","1557","M031877","M032473",5,3
"446","1558","M026985","M031752",7,5
"447","1559","M032043","M032002",7,3
"448","1560","M031583","M031827",8,5
"449","1561","M010969",NA,5,3
"450","1563","M027970","M031581",7,3
"451","1564","M032143",NA,8,6
"452","1566","M031803","M028796",7,6
"453","1567","M022875",NA,5,5
"454","1568","M022866","M032003",9,3
"455","1569","M032448","M022113",6,1
"456","1571","M031622","M031856",9,2
"457","1572","M031571","M032150",7,4
"458","1573","M031584","M032388",5,4
"459","1574","M031596","M031835",5,5
"460","1575","M028841",NA,8,5
"461","1576","M031618","M004210",7,6
"462","1579","M004208","M032114",6,4
"463","1580","M031663","M032438",4,3
"464","1581","M027995","M026903",7,3
"465","1582","M031617","M031872",7,6
"466","1583","M032129","M032348",6,6
"467","1584","M031664","M031887",7,4
"468","1585","M032109","M032356",8,5
"469","1586","M031150","M032321",4,3
"470","1587","M032422","M031855",6,5
"471","1588","M032320","M022113",4,4
"472","1589","M032426","M032313",10,9
"473","1590","M031746","M034541",7,3
"474","1591","M031710","M032040",4,4
"475","1593","M031516","M031725",7,6
"476","1594","M022865","M031801",8,3
"477","1596","M027996","M031941",9,4
"478","1597","M026459","M027966",6,5
"479","1598","M031797","M032145",6,6
"480","1599","M032226","M031774",9,3
"481","1600","M031798","M034837",7,6
"482","1601","M017312","M031980",7,3
"483","1602","M032401","M032003",8,5
"484","1603",NA,NA,5,3
"485","1604","M028841","M031979",8,5
"486","1605","M022891","M031539",0,6
"487","1606","M031861","M031944",6,4
"488","1607","M031580","M031924",6,1
"489","1608","M038023","M032149",6,3
"490","1609","M031798",NA,7,7
"491","1610","M031916","M032460",6,4
"492","1612","M032015","M038007",6,2
"493","1613","M031529","M022673",6,1
"494","1614","M032129","M032348",6,4
"495","1615","M031540","M031541",9,4
"496","1617","M028824","M032370",7,4
"497","1618","M032448","M031553",6,3
"498","1619","M031528","M032108",5,2
"499","1620","M022647","M031678",9,7
"500","1621","M031746","M034541",6,2
"501","1622","M031538","M032441",6,3
"502","1623","M028913","M032327",6,2
"503","1624",NA,NA,10,8
"504","1625","M026985",NA,0,1
"505","1626","M031552","M031979",7,5
"506","1627","M031150","M032321",5,4
"507","1628","M037502","M037503",5,5
"508","1629",NA,"M032315",5,4
"509","1630","M031557","M031558",8,4
"510","1631","M028884","M022186",7,6
"511","1632","M037523","M038007",4,4
"512","1633","M031710",NA,5,4
"513","1636","M032424","M032460",7,5
"514","1638","M032352","M031524",10,5
"515","1640",NA,NA,5,5
"516","1641","M031803","M028796",7,3
"517","1645","M032045","M028786",5,2
"518","1646","891942","M037564",5,5
"519","1647","M031529","M031830",7,2
"520","1648","M032352","M031653",9,7
"521","1649","M031753","M037567",6,6
"522","1650","M027866","M027989",8,5
"523","1651","M032127",NA,8,7
"524","1652","M032219","M037568",8,3
"525","1653","M037570","M032330",6,5
"526","1654","M037569","M031774",8,4
"527","1655","M037572","M031828",8,3
"528","1656","M037571","M031949",6,5
"529","1657","M042116","M031766",8,4
"530","1658","M032180",NA,6,6
"531","1659","M031710","M037589",7,4
"532","1660","M031706","M037659",5,5
"533","1661","M031780",NA,7,4
"534","1662",NA,NA,0,2
"535","1663","M031605",NA,7,4
"536","1664","M031610","M031598",10,2
"537","1665","M041186",NA,6,2
"538","1666","M032129","M032348",6,6
"539","1668","M031720","M032040",7,7
"540","1670",NA,NA,5,5
"541","1671","M037593","M042156",14,2
"542","1672","M037594","M042115",5,2
"543","1673","M037592","M031929",11,3
"544","1675","M037749",NA,8,5
"545","1676","M022866","M031870",6,5
"546","1677","M022875","M028883",6,4
"547","1678","M042143",NA,7,4
"548","1679","M038030","891906",7,7
"549","1680","M031583","M031827",7,5
"550","1681","M037728","M031634",7,4
"551","1682","M037857","M037858",7,5
"552","1683","M037595","M037596",13,4
"553","1684","M028824","M031855",5,5
"554","1685","M031786","M028912",8,3
"555","1686","M038044","M026276",11,5
"556","1688","M037855","M031853",8,5
"557","1689","M037599","M037600",7,5
"558","1691","M037800","M031839",9,5
"559","1692","M034664",NA,7,5
"560","1693","M031650","M032487",5,5
"561","1695","M034644","M031801",5,4
"562","1697","M032015","M032313",5,4
"563","1698",NA,NA,6,3
"564","1699","M031540","M031541",8,7
"565","1700","M026985","M031752",8,5
"566","1701","M031580","M037819",8,5
"567","1702","M037867","M022885",5,4
"568","1703","M037859","M034658",10,6
"569","1704","M031601","M038007",10,4
"570","1705","M022904","M032181",7,5
"571","1707","M042172","M041194",8,3
"572","1708","M031571",NA,9,9
"573","1709","M031150","M034870",9,1
"574","1710","M031664","M031945",6,3
"575","1711","M037881","M038472",7,2
"576","1712","M037882","M004351",5,1
"577","1713","M032231","M032149",10,4
"578","1714",NA,NA,6,5
"579","1716","M037868","M032291",7,3
"580","1717","M042178","M037866",13,3
"581","1718","M031596","M031545",5,4
"582","1719","M032146","M032315",6,5
"583","1721","M028938","M037870",6,4
"584","1722","M031848","M037873",8,5
"585","1723","M034612","M037950",7,1
"586","1724",NA,NA,0,6
"587","1726","M032109","M032356",8,5
"588","1728","M037872","M031950",11,3
"589","1729","M031751","M031558",5,4
"590","1730","M031916",NA,8,5
"591","1731","M037871","M031559",9,9
"592","1732","M031807","M031990",7,7
"593","1733","M034875","M037874",6,4
"594","1734","M037880","M031887",6,1
"595","1735","M041218","M031651",5,5
"596","1736","M037878","M037879",5,4
"597","1737","M037936","M031837",5,4
"598","1738","M041177",NA,7,7
"599","1739","M031557","M031988",8,5
"600","1740","M037891","M032322",7,7
"601","1741","M004215","M031763",8,4
"602","1742","M031708",NA,5,4
"603","1743","M031791","M038004",7,3
"604","1744",NA,NA,5,2
"605","1745","M031654","M032003",6,1
"606","1747","M037651","M037650",6,6
"607","1749","M037649","M031652",6,6
"608","1750","M027970",NA,7,4
"609","1751","M037704","M037701",9,4
"610","1752",NA,NA,3,2
"611","1753","M031528",NA,4,4
"612","1754","M022891","M031539",4,2
"613","1756",NA,NA,1,1
"614","1758","M008107",NA,6,6
"615","1759",NA,NA,0,2
"616","1760","M032043","M031752",5,4
"617","1761","M034669","M042125",5,4
"618","1762","M022891","M031661",11,6
